		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
15/03/20	12:00 a	26.1	26.2	26.1	87	23.8	1.3	NNE	0.40	3.6	NNE	26.1	29.0	29.0	28.3	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.4	70	21.4	29.7	12.77	1.1467	0.03	117	1	100.0	5
15/03/20	12:05 a	26.0	26.1	26.0	88	23.9	1.3	NNE	0.40	2.2	NNE	26.0	28.9	28.9	28.2	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.4	70	21.4	29.7	12.77	1.1467	0.00	114	1	100.0	5
15/03/20	12:10 a	26.0	26.1	25.9	88	23.9	1.3	NNE	0.40	1.8	NNE	26.0	28.9	28.9	28.2	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.4	70	21.4	29.7	12.77	1.1466	0.00	117	1	100.0	5
15/03/20	12:15 a	26.1	26.1	26.0	88	23.9	1.3	NE	0.40	2.7	NE	26.1	29.0	29.0	28.3	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1468	0.00	117	1	100.0	5
15/03/20	12:20 a	26.1	26.1	26.0	88	24.0	1.3	NE	0.40	2.2	NE	26.1	29.1	29.1	28.4	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.4	70	21.4	29.7	12.77	1.1466	0.00	115	1	100.0	5
15/03/20	12:25 a	26.2	26.2	26.1	87	23.8	1.3	NE	0.40	2.2	NE	26.2	29.1	29.1	28.4	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1468	0.00	115	1	100.0	5
15/03/20	12:30 a	26.2	26.2	26.2	87	23.9	1.3	NE	0.40	3.1	NE	26.2	29.3	29.3	28.6	1013.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1466	0.00	115	1	100.0	5
15/03/20	12:35 a	26.2	26.3	26.2	87	23.9	0.9	NE	0.27	2.2	NNE	26.2	29.3	29.3	28.6	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1465	0.00	117	1	100.0	5
15/03/20	12:40 a	26.2	26.3	26.2	87	23.9	1.3	NE	0.40	2.2	NE	26.2	29.3	29.3	28.6	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1465	0.00	117	1	100.0	5
15/03/20	12:45 a	26.2	26.2	26.2	87	23.9	0.9	NNE	0.27	1.8	NNE	26.2	29.3	29.3	28.6	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1462	0.00	117	1	100.0	5
15/03/20	12:50 a	26.2	26.2	26.2	87	23.8	0.9	NE	0.27	1.8	NE	26.2	29.1	29.1	28.4	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1462	0.00	116	1	100.0	5
15/03/20	12:55 a	26.2	26.2	26.2	87	23.8	1.3	NE	0.40	2.2	NE	26.2	29.1	29.1	28.4	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1461	0.00	116	1	100.0	5
15/03/20	1:00 a	26.2	26.2	26.1	88	24.0	0.9	NNE	0.27	2.2	NE	26.2	29.2	29.2	28.6	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1460	0.03	114	1	100.0	5
15/03/20	1:05 a	26.1	26.2	26.1	88	23.9	0.9	ENE	0.27	2.2	NE	26.1	29.0	29.0	28.3	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1461	0.00	116	1	100.0	5
15/03/20	1:10 a	26.0	26.1	26.0	88	23.9	1.3	NE	0.40	1.8	ENE	26.0	28.9	28.9	28.2	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	27.3	70	21.4	29.6	12.78	1.1459	0.00	117	1	100.0	5
