		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
15/12/19	12:00 a	24.9	25.0	24.9	96	24.2	0.9	SSW	0.27	1.8	SSW	24.9	27.4	27.4	26.8	1012.4	0.25	2.3	0	0.00	0	0.0	0.00	0.0	0.000	0.023	27.7	72	22.2	30.4	13.25	1.1422	0.00	117	1	100.0	5
15/12/19	12:05 a	24.8	24.9	24.8	96	24.2	0.4	WSW	0.13	2.2	WSW	24.8	27.3	27.3	26.7	1012.2	0.25	2.3	0	0.00	0	0.0	0.00	0.0	0.000	0.023	27.7	72	22.2	30.4	13.25	1.1420	0.00	116	1	100.0	5
15/12/19	12:10 a	24.7	24.8	24.7	96	24.0	0.9	SSW	0.27	1.3	SW	24.7	27.1	27.1	26.5	1012.2	0.00	1.5	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.7	72	22.2	30.4	13.25	1.1419	0.00	117	1	100.0	5
15/12/19	12:15 a	24.7	24.8	24.7	96	24.0	0.9	SSW	0.27	2.2	S	24.7	27.1	27.1	26.5	1012.0	0.00	1.5	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.4	13.25	1.1420	0.00	117	1	100.0	5
15/12/19	12:20 a	24.7	24.7	24.7	97	24.2	0.9	S	0.27	1.3	S	24.7	27.1	27.1	26.4	1011.9	0.00	1.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.4	13.25	1.1419	0.00	114	1	100.0	5
15/12/19	12:25 a	24.7	24.7	24.7	97	24.2	0.4	S	0.13	0.9	S	24.7	27.2	27.2	26.6	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.4	13.25	1.1419	0.00	114	1	100.0	5
15/12/19	12:30 a	24.7	24.7	24.7	97	24.2	0.4	SE	0.13	1.8	SSE	24.7	27.2	27.2	26.6	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.4	13.25	1.1419	0.00	117	1	100.0	5
15/12/19	12:35 a	24.7	24.7	24.6	97	24.2	0.4	SSE	0.13	0.9	SSE	24.7	27.1	27.1	26.4	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1422	0.00	117	1	100.0	5
15/12/19	12:40 a	24.6	24.7	24.6	97	24.1	0.9	SE	0.27	2.2	SSE	24.6	26.9	26.9	26.3	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1422	0.00	117	1	100.0	5
15/12/19	12:45 a	24.7	24.7	24.6	97	24.2	0.0	ESE	0.00	1.3	ESE	24.7	27.1	27.1	26.4	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1421	0.00	117	1	100.0	5
15/12/19	12:50 a	24.6	24.7	24.6	97	24.1	0.4	SE	0.13	1.3	SE	24.6	26.9	26.9	26.3	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1421	0.00	117	1	100.0	5
15/12/19	12:55 a	24.6	24.7	24.6	97	24.1	0.4	SE	0.13	1.3	SE	24.6	26.9	26.9	26.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1422	0.00	114	1	100.0	5
15/12/19	1:00 a	24.7	24.7	24.6	97	24.2	0.4	ESE	0.13	0.9	ESE	24.7	27.1	27.1	26.4	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1417	0.00	115	1	100.0	5
15/12/19	1:05 a	24.6	24.7	24.6	97	24.1	0.0	ESE	0.00	0.9	ESE	24.6	26.9	26.9	26.3	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.6	72	22.1	30.3	13.25	1.1418	0.00	117	1	100.0	5
15/12/19	1:10 a	24.6	24.7	24.6	97	24.1	0.0	ESE	0.00	0.9	ESE	24.6	26.9	26.9	26.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1422	0.00	117	1	100.0	5
15/12/19	1:15 a	24.6	24.6	24.6	97	24.0	0.4	ESE	0.13	0.9	ESE	24.6	26.9	26.9	26.3	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1421	0.00	117	1	100.0	5
15/12/19	1:20 a	24.6	24.6	24.6	97	24.1	0.0	ESE	0.00	0.4	ESE	24.6	26.9	26.9	26.3	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1419	0.00	116	1	100.0	5
15/12/19	1:25 a	24.6	24.6	24.6	97	24.0	0.4	ESE	0.13	0.9	ESE	24.6	26.9	26.9	26.3	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1420	0.00	116	1	100.0	5
15/12/19	1:30 a	24.6	24.6	24.6	97	24.1	0.4	ESE	0.13	1.3	ESE	24.6	26.9	26.9	26.3	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.4	72	21.9	30.1	13.25	1.1421	0.00	114	1	100.0	5
15/12/19	1:35 a	24.6	24.7	24.6	97	24.1	0.4	ESE	0.13	0.9	ESE	24.6	26.9	26.9	26.3	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.5	72	22.0	30.2	13.25	1.1418	0.00	116	1	100.0	5
15/12/19	1:40 a	24.6	24.7	24.6	97	24.1	0.4	ESE	0.13	0.9	ESE	24.6	26.9	26.9	26.3	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.4	72	21.9	30.1	13.25	1.1421	0.00	117	1	100.0	5
15/12/19	1:45 a	24.7	24.7	24.6	97	24.2	0.0	ESE	0.00	0.9	ESE	24.7	27.1	27.1	26.4	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.4	72	21.9	30.1	13.25	1.1421	0.00	116	1	100.0	5
15/12/19	1:50 a	24.7	24.7	24.6	97	24.2	0.4	ESE	0.13	0.9	ESE	24.7	27.1	27.1	26.4	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.4	72	21.9	30.1	13.25	1.1420	0.00	117	1	100.0	5
15/12/19	1:55 a	24.7	24.7	24.7	97	24.2	0.4	E	0.13	1.3	ESE	24.7	27.2	27.2	26.6	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	27.4	72	21.9	30.1	13.25	1.1420	0.00	118	1	100.0	5
