		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
20/02/19	4:00 p	83.8	83.8	83.7	82	77.7	14.0	NNW	1.17	16.0	NNW	81.8	94.6	92.6	---	29.614	0.00	0.00	474	3.40	482	3.3	0.12	3.3	0.000	0.065	86.4	72	76.3	96.9	0.017	106	1	93.0	5
20/02/19	4:05 p	83.6	83.8	83.6	79	76.4	16.0	NNW	1.33	17.0	NNW	81.1	93.0	90.5	---	29.616	0.00	0.00	379	2.72	457	2.9	0.10	3.1	0.000	0.065	86.1	73	76.4	96.6	0.000	109	1	95.6	5
20/02/19	4:10 p	83.6	83.6	83.5	81	77.1	16.0	NNW	1.33	18.0	NNW	81.1	93.7	91.2	---	29.612	0.00	0.00	329	2.36	408	2.7	0.10	2.8	0.000	0.065	85.8	74	76.5	96.2	0.000	104	1	91.2	5
20/02/19	4:15 p	83.8	83.8	83.6	80	77.0	15.0	NNW	1.25	18.0	N	81.6	93.9	91.7	---	29.607	0.00	0.00	401	2.87	404	2.6	0.09	2.6	0.000	0.065	85.6	74	76.4	95.7	0.000	98	1	86.0	5
20/02/19	4:20 p	83.9	83.9	83.8	80	77.1	15.0	NNW	1.25	18.0	NNW	81.7	94.2	92.0	---	29.607	0.00	0.00	383	2.75	394	2.4	0.09	2.4	0.000	0.066	85.5	74	76.3	95.5	0.000	105	1	92.1	5
20/02/19	4:25 p	83.9	84.0	83.8	80	77.1	15.0	NNW	1.25	18.0	NNW	81.7	94.2	92.0	---	29.604	0.00	0.00	363	2.60	371	2.1	0.07	2.2	0.000	0.066	85.4	74	76.2	95.2	0.000	112	1	98.2	5
20/02/19	4:30 p	83.9	83.9	83.8	81	77.4	15.0	NNW	1.25	18.0	NNW	81.7	94.5	92.3	---	29.602	0.00	0.00	334	2.39	348	1.9	0.07	2.0	0.000	0.066	85.3	75	76.5	95.3	0.000	109	1	95.6	5
20/02/19	4:35 p	83.9	83.9	83.8	80	77.1	16.0	NNW	1.33	19.0	NNW	81.5	94.2	91.8	---	29.603	0.00	0.00	313	2.24	322	1.7	0.06	1.8	0.000	0.066	85.2	75	76.4	95.1	0.000	109	1	95.6	5
20/02/19	4:40 p	83.8	83.9	83.8	79	76.6	17.0	NNW	1.42	19.0	NNW	81.2	93.6	91.0	---	29.601	0.00	0.00	299	2.14	304	1.6	0.06	1.6	0.000	0.065	85.1	75	76.3	94.8	0.000	111	1	97.4	5
20/02/19	4:45 p	83.8	83.9	83.8	80	77.0	16.0	NNW	1.33	19.0	NNW	81.4	93.9	91.5	---	29.602	0.00	0.00	292	2.09	295	1.4	0.05	1.5	0.000	0.065	85.0	75	76.2	94.6	0.000	110	1	96.5	5
20/02/19	4:50 p	83.9	83.9	83.8	80	77.1	16.0	NNW	1.33	19.0	NNW	81.5	94.2	91.8	---	29.602	0.00	0.00	289	2.07	292	1.3	0.05	1.3	0.000	0.066	85.0	75	76.2	94.6	0.000	102	1	89.5	5
20/02/19	4:55 p	84.0	84.1	83.9	79	76.8	15.0	NNW	1.25	19.0	NNW	81.8	94.1	91.9	---	29.600	0.00	0.00	262	1.88	276	1.1	0.04	1.2	0.000	0.066	85.0	75	76.2	94.6	0.000	113	1	99.1	5
20/02/19	5:00 p	84.0	84.0	83.9	81	77.5	15.0	NNW	1.25	18.0	NNW	81.8	94.8	92.6	---	29.602	0.00	0.00	268	1.92	272	1.0	0.04	1.0	0.000	0.066	84.9	75	76.1	94.4	0.012	106	1	93.0	5
20/02/19	5:05 p	83.8	84.0	83.8	79	76.6	16.0	NNW	1.33	19.0	NNW	81.4	93.6	91.2	---	29.606	0.00	0.00	243	1.74	264	0.8	0.03	0.9	0.000	0.065	84.8	75	76.0	94.2	0.000	113	1	99.1	5
