		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
20/10/19	12:05 a	24.6	24.6	24.6	95	23.7	0.4	SSE	0.13	0.9	SSE	24.6	26.7	26.7	26.1	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1491	0.00	113	1	99.1	5
20/10/19	12:10 a	24.6	24.6	24.6	95	23.7	0.4	SSE	0.13	1.8	SSE	24.6	26.7	26.7	26.1	1013.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.8	72	21.3	28.8	13.25	1.1487	0.00	117	1	100.0	5
20/10/19	12:15 a	24.6	24.6	24.6	95	23.7	0.4	SSE	0.13	1.8	SSE	24.6	26.7	26.7	26.1	1013.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1490	0.00	116	1	100.0	5
20/10/19	12:20 a	24.6	24.6	24.5	95	23.7	0.4	SSE	0.13	1.8	SSE	24.6	26.7	26.7	26.1	1013.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1489	0.00	117	1	100.0	5
20/10/19	12:25 a	24.6	24.6	24.5	96	23.9	0.4	S	0.13	1.3	S	24.6	26.8	26.8	26.2	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1488	0.00	116	1	100.0	5
20/10/19	12:30 a	24.6	24.6	24.5	96	23.9	0.4	S	0.13	1.8	S	24.6	26.8	26.8	26.2	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1488	0.00	117	1	100.0	5
20/10/19	12:35 a	24.6	24.6	24.5	96	23.9	0.4	S	0.13	1.8	S	24.6	26.8	26.8	26.2	1013.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1487	0.00	114	1	100.0	5
20/10/19	12:40 a	24.6	24.6	24.6	95	23.7	0.9	S	0.27	1.8	S	24.6	26.7	26.7	26.1	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1486	0.00	115	1	100.0	5
20/10/19	12:45 a	24.6	24.6	24.5	95	23.7	0.4	SSE	0.13	1.8	SSE	24.6	26.7	26.7	26.1	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1485	0.00	117	1	100.0	5
20/10/19	12:50 a	24.6	24.6	24.6	95	23.7	0.9	SSE	0.27	2.7	SSE	24.6	26.7	26.7	26.1	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1485	0.00	117	1	100.0	5
20/10/19	12:55 a	24.6	24.6	24.6	94	23.6	0.4	SSE	0.13	1.8	SSE	24.6	26.7	26.7	26.1	1013.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1484	0.00	117	1	100.0	5
20/10/19	1:00 a	24.6	24.7	24.6	94	23.6	0.9	SSE	0.27	2.7	S	24.6	26.7	26.7	26.1	1013.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1483	0.00	117	1	100.0	5
20/10/19	1:05 a	24.7	24.7	24.6	93	23.5	0.9	SSE	0.27	1.3	S	24.7	26.7	26.7	26.1	1013.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1483	0.00	118	1	100.0	5
20/10/19	1:10 a	24.7	24.7	24.7	93	23.5	0.4	SSE	0.13	1.8	SSE	24.7	26.7	26.7	26.1	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.3	28.7	13.25	1.1482	0.00	114	1	100.0	5
20/10/19	1:15 a	24.7	24.7	24.7	93	23.5	0.9	ESE	0.27	2.2	SSE	24.7	26.7	26.7	26.1	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1485	0.00	115	1	100.0	5
20/10/19	1:20 a	24.7	24.7	24.7	93	23.5	0.4	SE	0.13	2.7	S	24.7	26.7	26.7	26.1	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1484	0.00	117	1	100.0	5
20/10/19	1:25 a	24.7	24.7	24.7	93	23.5	0.4	ESE	0.13	1.3	S	24.7	26.7	26.7	26.1	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1484	0.00	117	1	100.0	5
20/10/19	1:30 a	24.7	24.7	24.6	93	23.5	0.9	E	0.27	2.2	SSE	24.7	26.7	26.7	26.1	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1482	0.00	117	1	100.0	5
20/10/19	1:35 a	24.6	24.7	24.6	94	23.6	0.9	SE	0.27	1.8	ESE	24.6	26.7	26.7	26.1	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1482	0.00	116	1	100.0	5
20/10/19	1:40 a	24.6	24.7	24.6	94	23.6	0.9	SSE	0.27	1.8	SSE	24.6	26.7	26.7	26.1	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1484	0.00	114	1	100.0	5
20/10/19	1:45 a	24.6	24.7	24.6	94	23.6	0.9	SSE	0.27	1.8	SSE	24.6	26.7	26.7	26.1	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1480	0.00	113	1	99.1	5
20/10/19	1:50 a	24.6	24.6	24.5	94	23.5	0.4	SSE	0.13	1.8	SSE	24.6	26.6	26.6	26.0	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1480	0.00	116	1	100.0	5
20/10/19	1:55 a	24.5	24.6	24.5	94	23.5	0.9	SSE	0.27	2.2	SSE	24.5	26.5	26.5	25.9	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.7	72	21.2	28.6	13.25	1.1479	0.00	117	1	100.0	5
20/10/19	2:00 a	24.5	24.6	24.5	94	23.5	0.4	SSE	0.13	2.2	SSE	24.5	26.5	26.5	25.9	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	26.7	72	21.2	28.6	13.25	1.1479	0.00	117	1	100.0	5
20/10/19	2:05 a	24.6	24.6	24.5	94	23.5	0.4	SSE	0.13	1.8	SSE	24.6	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.7	72	21.2	28.6	13.25	1.1477	0.00	116	1	100.0	5
20/10/19	2:10 a	24.6	24.6	24.5	94	23.5	0.9	SSE	0.27	2.2	SSE	24.6	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1481	0.00	118	1	100.0	5
20/10/19	2:15 a	24.6	24.6	24.5	93	23.4	0.4	SSE	0.13	1.3	SSE	24.6	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1481	0.00	115	1	100.0	5
20/10/19	2:20 a	24.6	24.7	24.6	93	23.4	0.4	SSE	0.13	0.9	SSE	24.6	26.6	26.6	26.0	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1481	0.00	115	1	100.0	5
20/10/19	2:25 a	24.7	24.7	24.6	93	23.5	0.4	SSE	0.13	0.9	SE	24.7	26.7	26.7	26.1	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.4	13.26	1.1485	0.00	116	1	100.0	5
20/10/19	2:30 a	24.7	24.7	24.6	93	23.5	0.4	SE	0.13	1.8	SSE	24.7	26.7	26.7	26.1	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1481	0.00	117	1	100.0	5
20/10/19	2:35 a	24.7	24.7	24.7	92	23.3	0.4	SSE	0.13	2.2	SSE	24.7	26.7	26.7	26.1	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.4	13.26	1.1484	0.00	117	1	100.0	5
20/10/19	2:40 a	24.7	24.7	24.7	92	23.3	0.9	S	0.27	1.8	S	24.7	26.7	26.7	26.1	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.022	26.6	72	21.1	28.5	13.26	1.1481	0.00	116	1	100.0	5
