		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
16/12/19	12:00 a	25.8	25.8	25.8	97	25.3	0.0	NE	0.00	0.9	NE	25.8	29.4	29.4	28.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.0	78	22.8	29.9	15.24	1.1413	0.00	117	1	100.0	5
16/12/19	12:05 a	25.8	25.8	25.8	97	25.3	0.0	---	0.00	0.0	---	25.8	29.4	29.4	28.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.0	78	22.8	29.9	15.24	1.1411	0.00	115	1	100.0	5
16/12/19	12:10 a	25.8	25.8	25.7	97	25.3	0.0	---	0.00	0.0	---	25.8	29.4	29.4	28.9	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	27.0	78	22.8	29.9	15.24	1.1410	0.00	114	1	100.0	5
16/12/19	12:15 a	25.7	25.8	25.7	97	25.2	0.0	NE	0.00	0.4	NE	25.7	29.2	29.2	28.6	1010.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.0	78	22.8	29.9	15.24	1.1409	0.00	115	1	100.0	5
16/12/19	12:20 a	25.7	25.7	25.6	97	25.2	0.0	NE	0.00	0.9	NE	25.7	29.2	29.2	28.6	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	27.0	78	22.8	29.9	15.24	1.1407	0.00	117	1	100.0	5
16/12/19	12:25 a	25.6	25.7	25.6	97	25.1	0.4	NE	0.13	0.9	NE	25.6	29.1	29.1	28.5	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.9	78	22.8	29.8	15.24	1.1409	0.00	117	1	100.0	5
16/12/19	12:30 a	25.6	25.7	25.6	97	25.1	0.4	NE	0.13	0.9	NE	25.6	29.1	29.1	28.5	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.9	78	22.8	29.8	15.24	1.1408	0.00	117	1	100.0	5
16/12/19	12:35 a	25.7	25.7	25.6	97	25.2	0.0	NE	0.00	0.9	NE	25.7	29.2	29.2	28.6	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.9	78	22.8	29.8	15.24	1.1410	0.00	117	1	100.0	5
16/12/19	12:40 a	25.6	25.7	25.6	97	25.1	0.0	NE	0.00	0.9	NE	25.6	29.1	29.1	28.5	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.9	78	22.8	29.8	15.24	1.1411	0.00	115	1	100.0	5
16/12/19	12:45 a	25.6	25.7	25.6	97	25.1	0.4	NE	0.13	0.9	NE	25.6	29.1	29.1	28.5	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.025	26.9	78	22.8	29.8	15.24	1.1409	0.00	114	1	100.0	5
